product_id,product_name,brand,category,material,color,size_available,gender,season,price_usd,description,care_instructions
P0001,SaigonStyle Beige Shirt,SaigonStyle,Shirt,Denim,Beige,"XL, M, XS, S",Unisex,Spring,118.15,"A stylish shirt crafted with denim fabric, offering breathable and lightweight wear.","Wash inside out with similar colors, avoid high heat."
P0002,MekongBasics Red Jeans,MekongBasics,Jeans,Cotton Blend,Red,"XL, M, L, S, XS",Men,All-season,76.61,Modern jeans suitable for casual outings. Made with durable cotton blend material.,"Machine wash cold, tumble dry low."
P0003,SaigonStyle Brown Sweater,SaigonStyle,Sweater,Cotton,Brown,"M, L, XS, XL",Men,Spring,64.77,"A stylish sweater crafted with cotton fabric, offering breathable and lightweight wear.","Machine wash cold, do not bleach, tumble dry low."
P0004,MekongBasics Black Sweater,MekongBasics,Sweater,Linen,Black,"XS, S, XL",Unisex,Winter,119.46,This black sweater from MekongBasics is made of linen and designed for everyday comfort.,"Hand wash recommended, air dry."
P0005,VietWear Gray Hoodie,VietWear,Hoodie,Polyester,Gray,"XL, S, M, L, XS",Women,All-season,96.0,Modern hoodie suitable for casual outings. Made with durable polyester material.,"Machine wash cold, quick dry, no ironing needed."
P0006,SaigonStyle Beige Dress,SaigonStyle,Dress,Linen,Beige,"XS, M, L, XL",Unisex,Autumn,15.91,"A stylish dress crafted with linen fabric, offering breathable and lightweight wear.","Hand wash recommended, air dry."
P0007,NorthWind Gray Sweater,NorthWind,Sweater,Wool,Gray,"XS, M, S, XL",Women,Spring,76.16,This gray sweater from NorthWind is made of wool and designed for everyday comfort.,Hand wash cold or dry clean only.
P0008,MekongBasics Green Shorts,MekongBasics,Shorts,Denim,Green,"M, L, XS",Unisex,Summer,117.97,This green shorts from MekongBasics is made of denim and designed for everyday comfort.,"Wash inside out with similar colors, avoid high heat."
P0009,MekongBasics Gray Dress,MekongBasics,Dress,Denim,Gray,"XS, M, S, XL",Men,Spring,41.28,"A stylish dress crafted with denim fabric, offering breathable and lightweight wear.","Wash inside out with similar colors, avoid high heat."
P0010,MekongBasics Brown T-shirt,MekongBasics,T-shirt,Wool,Brown,"XS, XL, L, M, S",Unisex,Winter,119.41,This brown t-shirt from MekongBasics is made of wool and designed for everyday comfort.,Hand wash cold or dry clean only.
P0011,VietWear Green Sweater,VietWear,Sweater,Denim,Green,"XS, S, L",Unisex,Winter,18.31,This green sweater from VietWear is made of denim and designed for everyday comfort.,"Wash inside out with similar colors, avoid high heat."
P0012,LotusFashion Green Jeans,LotusFashion,Jeans,Polyester,Green,"XL, M, S",Unisex,All-season,79.74,"Comfortable jeans designed by LotusFashion, featuring soft polyester fabric and a relaxed fit.","Machine wash cold, quick dry, no ironing needed."
P0013,MekongBasics Blue Jacket,MekongBasics,Jacket,Linen,Blue,"L, M, S",Men,All-season,13.11,"Comfortable jacket designed by MekongBasics, featuring soft linen fabric and a relaxed fit.","Hand wash recommended, air dry."
P0014,LotusFashion Brown Shirt,LotusFashion,Shirt,Polyester,Brown,"XS, L, S, XL, M",Women,Spring,29.31,Modern shirt suitable for casual outings. Made with durable polyester material.,"Machine wash cold, quick dry, no ironing needed."
P0015,VietWear Beige Shorts,VietWear,Shorts,Polyester,Beige,"L, M, XS, S",Men,Autumn,100.95,"Comfortable shorts designed by VietWear, featuring soft polyester fabric and a relaxed fit.","Machine wash cold, quick dry, no ironing needed."
